S.N,Company,High,Low,Average,Closing,Trade Volume,Share Volume
210.,RSDC,"1,194.40",584.00,"855.39780.005,130,801,9845,682,270",780.00,"5,130,801,984","5,682,270"
211.,SLBS,"2,355.00","1,512.00","1,843.580.00965,135,412505,949",0.00,"965,135,412","505,949"
212.,KKHC,556.20,110.00,"262.28324.002,278,650,2457,239,845",324.00,"2,278,650,245","7,239,845"
213.,NMBHF1,16.25,10.13,"12.0512.00363,624,37528,315,360",12.00,"363,624,375","28,315,360"
214.,NEF,17.49,9.83,"12.7011.10753,675,47254,408,609",11.10,"753,675,472","54,408,609"
215.,DHPL,485.20,109.00,"254.47310.003,081,921,93411,699,471",310.00,"3,081,921,934","11,699,471"
216.,NIBLPF,20.68,9.30,"12.3810.86594,655,13439,277,514",10.86,"594,655,134","39,277,514"
217.,AKPL,882.40,284.00,"476.18553.0032,950,194,97865,618,863",553.00,"32,950,194,978","65,618,863"
218.,FOWAD,"3,530.00","2,000.00","2,730.882,148.006,508,304,5732,333,332","2,148.00","6,508,304,573","2,333,332"
219.,SPDL,823.90,230.00,"421.36470.0013,192,083,00128,486,004",470.00,"13,192,083,001","28,486,004"
220.,UMHL,646.60,152.00,"360.57417.9025,116,221,09761,895,660",417.90,"25,116,221,097","61,895,660"
221.,SMATA,"2,048.00",550.00,"1,454.071,216.001,092,777,692681,865","1,216.00","1,092,777,692","681,865"
222.,LEMF,19.34,9.16,"11.2410.29991,063,38772,293,166",10.29,"991,063,387","72,293,166"
223.,CHL,715.00,164.00,"415.94443.004,834,852,05010,702,617",443.00,"4,834,852,050","10,702,617"
224.,HPPL,749.10,258.00,"455.01476.008,678,454,54917,650,695",476.00,"8,678,454,549","17,650,695"
225.,MSLB,"3,131.00","1,485.00","2,115.651,585.001,135,656,902494,623","1,585.00","1,135,656,902","494,623"
226.,NHDL,840.00,238.00,"451.93480.002,454,466,7594,628,641",480.00,"2,454,466,759","4,628,641"
227.,SEF,17.04,10.01,"11.9911.25653,707,15650,085,836",11.25,"653,707,156","50,085,836"
228.,SMB,"2,900.00","1,546.00","2,322.081,934.00989,954,880423,861","1,934.00","989,954,880","423,861"
229.,SAEF,20.19,11.99,"14.6314.291,306,872,89582,464,765",14.29,"1,306,872,895","82,464,765"
230.,USLB,"2,868.00","1,442.00","2,135.061,600.001,219,652,274549,812","1,600.00","1,219,652,274","549,812"
231.,RADHI,"1,340.00",284.00,"666.94693.0012,566,186,53315,250,140",693.00,"12,566,186,533","15,250,140"
232.,NICGF,18.12,10.43,"12.9612.25495,667,50734,998,909",12.25,"495,667,507","34,998,909"
233.,CMF1,16.01,9.03,"11.1510.09404,228,67531,488,263",10.09,"404,228,675","31,488,263"
234.,WNLB,"1,106.00",831.00,"947.061,106.00214,038218","1,106.00","214,038",218
235.,RRHP,739.00,257.00,"442.830.007,528,280,72813,814,361",0.00,"7,528,280,728","13,814,361"
236.,PMHPL,484.00,123.00,"288.32365.002,471,641,1527,367,037",365.00,"2,471,641,152","7,367,037"
